Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
62,07/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1
68,08/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1
80,09/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1
95,10/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1
106,11/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1
117,12/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1
130,13/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1
143,14/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1
157,15/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1
172,16/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1
187,17/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1
203,18/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1
221,19/03/20,6:00 PM,Tamil Nadu,2,0,1.0,0.0,2
241,20/03/20,6:00 PM,Tamil Nadu,3,0,1.0,0.0,3
263,21/03/20,6:00 PM,Tamil Nadu,3,0,1.0,0.0,3
286,22/03/20,6:00 PM,Tamil Nadu,5,2,1.0,0.0,7
309,23/03/20,6:00 PM,Tamil Nadu,7,2,1.0,0.0,9
333,24/03/20,6:00 PM,Tamil Nadu,13,2,1.0,0.0,15
358,25/03/20,6:00 PM,Tamil Nadu,16,2,1.0,0.0,18
388,26/03/20,6:00 PM,Tamil Nadu,20,6,1.0,1.0,26
415,27/03/20,10:00 AM,Tamil Nadu,23,6,1.0,1.0,29
442,28/03/20,6:00 PM,Tamil Nadu,34,6,2.0,1.0,40
469,29/03/20,7:30 PM,Tamil Nadu,-,-,4.0,1.0,49
496,30/03/20,9:30 PM,Tamil Nadu,-,-,4.0,1.0,67
524,31/03/20,8:30 PM,Tamil Nadu,-,-,4.0,1.0,74
554,01/04/20,7:30 PM,Tamil Nadu,-,-,6.0,1.0,234
583,02/04/20,6:00 PM,Tamil Nadu,-,-,6.0,1.0,234
613,03/04/20,6:00 PM,Tamil Nadu,-,-,6.0,1.0,309
644,04/04/20,6:00 PM,Tamil Nadu,-,-,6.0,2.0,411
674,05/04/20,6:00 PM,Tamil Nadu,-,-,6.0,3.0,485
704,06/04/20,6:00 PM,Tamil Nadu,-,-,8.0,5.0,571
734,07/04/20,6:00 PM,Tamil Nadu,-,-,8.0,5.0,621
765,08/04/20,5:00 PM,Tamil Nadu,-,-,19.0,7.0,690
796,09/04/20,5:00 PM,Tamil Nadu,-,-,21.0,8.0,738
827,10/04/20,5:00 PM,Tamil Nadu,-,-,21.0,8.0,834
858,11/04/20,5:00 PM,Tamil Nadu,-,-,44.0,8.0,911
889,12/04/20,5:00 PM,Tamil Nadu,-,-,44.0,10.0,969
921,13/04/20,5:00 PM,Tamil Nadu,-,-,50.0,11.0,1075
954,14/04/20,5:00 PM,Tamil Nadu,-,-,58.0,11.0,1173
987,15/04/20,5:00 PM,Tamil Nadu,-,-,81.0,12.0,1204
1020,16/04/20,5:00 PM,Tamil Nadu,-,-,118.0,14.0,1242
1053,17/04/20,5:00 PM,Tamil Nadu,-,-,180.0,15.0,1267
1086,18/04/20,5:00 PM,Tamil Nadu,-,-,283.0,15.0,1323
1119,19/04/20,5:00 PM,Tamil Nadu,-,-,365.0,15.0,1372
1152,20/04/20,5:00 PM,Tamil Nadu,-,-,411.0,15.0,1477
1185,21/04/20,5:00 PM,Tamil Nadu,-,-,457.0,17.0,1520
1217,22/04/20,5:00 PM,Tamil Nadu,-,-,635.0,18.0,1596
1249,23/04/20,5:00 PM,Tamil Nadu,-,-,662.0,18.0,1629
1281,24/04/20,5:00 PM,Tamil Nadu,-,-,752.0,20.0,1683
1313,25/04/20,5:00 PM,Tamil Nadu,-,-,866.0,22.0,1755
1345,26/04/20,5:00 PM,Tamil Nadu,-,-,960.0,23.0,1821
1377,27/04/20,5:00 PM,Tamil Nadu,-,-,1020.0,24.0,1885
1409,28/04/20,5:00 PM,Tamil Nadu,-,-,1101.0,24.0,1937
1441,29/04/20,5:00 PM,Tamil Nadu,-,-,1168.0,25.0,2058
1473,30/04/20,5:00 PM,Tamil Nadu,-,-,1210.0,27.0,2162
1505,01/05/20,5:00 PM,Tamil Nadu,-,-,1258.0,27.0,2323
1537,02/05/20,5:00 PM,Tamil Nadu,-,-,1312.0,28.0,2526
1569,03/05/20,5:00 PM,Tamil Nadu,-,-,1341.0,29.0,2757
1601,04/05/20,5:00 PM,Tamil Nadu,-,-,1379.0,30.0,3023
1633,05/05/20,5:00 PM,Tamil Nadu,-,-,1409.0,31.0,3550
1666,06/05/20,8:00 AM,Tamil Nadu,-,-,1485.0,33.0,4058
1699,07/05/20,8:00 AM,Tamil Nadu,-,-,1516.0,35.0,4829
1732,08/05/20,8:00 AM,Tamil Nadu,-,-,1547.0,37.0,5409
1765,09/05/20,8:00 AM,Tamil Nadu,-,-,1605.0,40.0,6009
1798,10/05/20,8:00 AM,Tamil Nadu,-,-,1824.0,44.0,6535
1831,11/05/20,8:00 AM,Tamil Nadu,-,-,1959.0,47.0,7204
1864,12/05/20,8:00 AM,Tamil Nadu,-,-,2051.0,53.0,8002
1897,13/05/20,8:00 AM,Tamil Nadu,-,-,2134.0,61.0,8718
1930,14/05/20,8:00 AM,Tamil Nadu,-,-,2176.0,64.0,9227
1963,15/05/20,8:00 AM,Tamil Nadu,-,-,2240.0,66.0,9674
1996,16/05/20,8:00 AM,Tamil Nadu,-,-,2599.0,71.0,10108
2029,17/05/20,8:00 AM,Tamil Nadu,-,-,3538.0,74.0,10585
2062,18/05/20,8:00 AM,Tamil Nadu,-,-,4172.0,78.0,11224
2095,19/05/20,8:00 AM,Tamil Nadu,-,-,4406.0,81.0,11760
2128,20/05/20,8:00 AM,Tamil Nadu,-,-,4895.0,84.0,12448
